,Actual Load
2023-01-01 01:00:00+01:00,3388.95
2023-01-01 02:00:00+01:00,3342.47
2023-01-01 03:00:00+01:00,3192.26
2023-01-01 04:00:00+01:00,3106.97
2023-01-01 05:00:00+01:00,3073.45
2023-01-01 06:00:00+01:00,3088.42
2023-01-01 07:00:00+01:00,3117.77
2023-01-01 08:00:00+01:00,3295.17
2023-01-01 09:00:00+01:00,3498.47
2023-01-01 10:00:00+01:00,3683.5
2023-01-01 11:00:00+01:00,3756.29
2023-01-01 12:00:00+01:00,3816.13
2023-01-01 13:00:00+01:00,3866.21
2023-01-01 14:00:00+01:00,3865.72
2023-01-01 15:00:00+01:00,3780.59
2023-01-01 16:00:00+01:00,4002.83
2023-01-01 17:00:00+01:00,4263.31
2023-01-01 18:00:00+01:00,4111.89
2023-01-01 19:00:00+01:00,3840.21
2023-01-01 20:00:00+01:00,3687.48
2023-01-01 21:00:00+01:00,3506.6
2023-01-01 22:00:00+01:00,3353.75
2023-01-01 23:00:00+01:00,3228.9
2023-01-02 00:00:00+01:00,3055.49
2023-01-02 01:00:00+01:00,2992.17
2023-01-02 02:00:00+01:00,2983.91
2023-01-02 03:00:00+01:00,2982.94
2023-01-02 04:00:00+01:00,3010.94
2023-01-02 05:00:00+01:00,3234.23
2023-01-02 06:00:00+01:00,3684.11
2023-01-02 07:00:00+01:00,4192.39
2023-01-02 08:00:00+01:00,4454.28
2023-01-02 09:00:00+01:00,4561.64
2023-01-02 10:00:00+01:00,4672.54
2023-01-02 11:00:00+01:00,4717.2
2023-01-02 12:00:00+01:00,4650.87
2023-01-02 13:00:00+01:00,4653.87
2023-01-02 14:00:00+01:00,4593.98
2023-01-02 15:00:00+01:00,4541.06
2023-01-02 16:00:00+01:00,4693.77
2023-01-02 17:00:00+01:00,4952.03
2023-01-02 18:00:00+01:00,4679.76
2023-01-02 19:00:00+01:00,4409.69
2023-01-02 20:00:00+01:00,4117.82
2023-01-02 21:00:00+01:00,3896.17
2023-01-02 22:00:00+01:00,3706.03
2023-01-02 23:00:00+01:00,3521.05
2023-01-03 00:00:00+01:00,3461.2
2023-01-03 01:00:00+01:00,3477.79
2023-01-03 02:00:00+01:00,3445.56
2023-01-03 03:00:00+01:00,3399.65
2023-01-03 04:00:00+01:00,3434.68
2023-01-03 05:00:00+01:00,3519.48
2023-01-03 06:00:00+01:00,3920.98
2023-01-03 07:00:00+01:00,4434.8
2023-01-03 08:00:00+01:00,4681.89
2023-01-03 09:00:00+01:00,4650.61
2023-01-03 10:00:00+01:00,4692.89
2023-01-03 11:00:00+01:00,4543.64
2023-01-03 12:00:00+01:00,4537.71
2023-01-03 13:00:00+01:00,4543.18
2023-01-03 14:00:00+01:00,4517.66
2023-01-03 15:00:00+01:00,4501.52
2023-01-03 16:00:00+01:00,4714.33
2023-01-03 17:00:00+01:00,5023.9
2023-01-03 18:00:00+01:00,4844.25
2023-01-03 19:00:00+01:00,4648.99
2023-01-03 20:00:00+01:00,4323.8
2023-01-03 21:00:00+01:00,4099.3
2023-01-03 22:00:00+01:00,3877.57
2023-01-03 23:00:00+01:00,3746.62
2023-01-04 00:00:00+01:00,3635.08
2023-01-04 01:00:00+01:00,3587.09
2023-01-04 02:00:00+01:00,3600.08
2023-01-04 03:00:00+01:00,3684.54
2023-01-04 04:00:00+01:00,3713.19
2023-01-04 05:00:00+01:00,3836.4
2023-01-04 06:00:00+01:00,4252.15
2023-01-04 07:00:00+01:00,4796.51
